probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N
cg01014490	9.65477427535407e-08	1.67426537642017e-08	8.08994585631662e-09	0.00390856835107496	0.0382333434656458	429
cg03527274	1.87899790299354e-07	3.96190092452681e-08	2.10922231387281e-06	0.251331765439266	0.181845818372753	435
cg17431490	-2.18975519561928e-07	4.65384418548371e-08	2.53541266020324e-06	0.251331765439266	0.061337184020737	437
cg08230472	8.8679055934499e-08	1.89053597608525e-08	2.72294120489069e-06	0.251331765439266	0.0450643747663662	438
cg00566999	1.3600165632917e-07	2.90324357596577e-08	2.8068140291737e-06	0.251331765439266	0.0893168010181808	438
cg14251622	9.39750977061799e-08	2.02269623657695e-08	3.38381891037017e-06	0.251331765439266	0.0423568407356856	437
cg04012266	7.08970921506293e-08	1.53096921040144e-08	3.64144140314663e-06	0.251331765439266	0.0406180636632053	438
cg15382669	1.3359463339011e-07	2.94864763998485e-08	5.87861660245046e-06	0.26838447701814	0.0665980014380733	437
cg27597145	-1.66662237467897e-07	3.68131687781007e-08	5.97576195726984e-06	0.26838447701814	0.0914970887305859	438
cg26211634	-1.45849988525055e-07	3.22819094592239e-08	6.24235480536532e-06	0.26838447701814	0.120201181314139	437
cg15372959	2.28952859407012e-07	5.52979489121293e-08	3.46776400628099e-05	0.401865183393532	0.0986170057533902	438
cg07449450	8.16436628832365e-08	2.06197700831609e-08	7.51116755559242e-05	0.419371794770482	0.0346903588445715	438
cg18459449	-8.5501217174617e-08	2.36082255873144e-08	0.00029270664797221	0.529655420204665	0.0680203315061556	438
cg04669894	-2.00828658996988e-07	5.58828285046542e-08	0.000325958333978309	0.550575796373196	0.160638340223069	438
cg27634115	1.37750030792042e-07	3.92180846542197e-08	0.00044406075294689	0.552946051850535	0.129278625802504	433
cg09142848	1.76705047637718e-07	5.27624385244922e-08	0.000810835977349315	0.602151837486518	0.102749738066819	437
cg05667256	-1.11026880750882e-07	3.36366288226302e-08	0.000964188125220784	0.621115848841393	0.0669443135572606	438
cg20977794	1.32346569229286e-07	4.09825242336824e-08	0.00124075605500478	0.645248253373311	0.0620735240513755	438
cg10572943	6.98823369490002e-08	2.19942781363434e-08	0.00148655113328681	0.65656064595749	0.0450540905582146	437
cg05088820	-7.63529107739066e-08	2.41633827021685e-08	0.00157844868369517	0.667156299208329	0.0688803741895478	435
cg04741211	-2.73816985325437e-07	8.72549273432895e-08	0.00170031574589694	0.672119734960083	-0.209105548446964	438
cg21980821	5.94776395853484e-08	1.92447305052248e-08	0.00199756881111201	0.68378758150348	0.0352748387458056	438
cg10683055	9.81023058356228e-08	3.23631582443027e-08	0.00243506561178858	0.685163929010186	0.0874453812928985	437
cg25153629	-4.49107367285697e-08	1.48668454602535e-08	0.0025205350952313	0.688637249181404	0.0719677397009718	437
cg03067912	8.94701392166082e-08	2.97973346796699e-08	0.00267664470492578	0.689874739752707	0.0597465267289044	438
cg26757053	6.49006921130285e-08	2.1709418902098e-08	0.00279418256070705	0.695228438418502	0.037345134975269	438
cg24994611	6.63105761198556e-08	2.23107455696932e-08	0.0029573539217134	0.699235635811785	0.0812643094140979	435
cg19675142	-2.78979226866495e-07	9.40886200285181e-08	0.00302615294666227	0.701191936564752	-0.129706267212075	436
cg19453726	-1.61211622850688e-07	5.46481794036e-08	0.00317783460319968	0.701191936564752	-0.271007183532438	438
cg18918396	7.51923589887951e-08	2.56331830018237e-08	0.00335272482323415	0.701191936564752	0.0652969668869914	438
cg23994692	4.18435645146065e-08	1.43059146274399e-08	0.00344551851556867	0.704768996652554	0.0309193278981328	437
cg07074390	3.91549235739345e-08	1.35006284716242e-08	0.00372889299566114	0.711139791746443	0.0206605761863732	438
cg00129132	9.16790254214716e-08	3.16147120498988e-08	0.00373299735478358	0.711139791746443	0.118104065664148	438
cg06632762	6.04512717172337e-08	2.08809300913393e-08	0.0037910189923466	0.711262873290793	0.0314131131706341	433
cg04552470	5.50923974862607e-08	1.91363558978366e-08	0.00399015757792087	0.718926357980618	0.0375441396212826	438
cg06528340	-6.41592286823088e-08	2.26093747383366e-08	0.00454360538705504	0.732822081581226	0.038061548624353	438
cg19775672	1.57669012632372e-07	5.56186988578774e-08	0.00458514791079531	0.732822081581226	0.0694277108050701	438
cg07368857	-1.71962863122327e-07	6.09740583538847e-08	0.00479843473650173	0.740380543399617	-0.31847856621071	438
cg21347644	1.20241076728006e-07	4.28975933653776e-08	0.00506328805615027	0.744019523974285	0.0752728630225234	438
