probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N
cg07391023	-4.50873853922434e-07	1.15333618206243e-07	9.25634879592049e-05	0.428690749103587	0.152541777317415	419
cg11214889	1.02864737196302e-06	2.72270148274144e-07	0.000158067818877841	0.456523361404897	0.10798717648122	419
cg27561949	2.87329289546855e-07	8.28899969222876e-08	0.000527492010637573	0.596786676819152	0.0320039065182746	418
cg05779523	-5.19096975132573e-07	1.51055482977375e-07	0.000589357130237554	0.608908065420757	0.180605062116514	417
cg05672923	-4.81647194571476e-07	1.44126478542644e-07	0.000832259273172927	0.656980302619771	-0.0916110642076063	417
cg14132965	-2.95624638435242e-07	9.18146053721594e-08	0.0012828019528761	0.688619141817499	0.0497078606968739	413
cg13990487	-2.82615514082684e-07	8.79299604554985e-08	0.00130854982850074	0.692969525354737	0.103195664239692	412
cg16713551	-9.17985778246747e-07	2.88718180626183e-07	0.00147518221841724	0.697915145613411	-0.203543684792835	418
cg21622152	1.71909934249612e-07	5.47509985144147e-08	0.00169034239231823	0.702533577713592	0.0337942059776696	419
cg06394887	1.57304277617165e-07	5.04014236149864e-08	0.00180220614933566	0.705009424955379	0.0379345888405199	413
cg04930982	-3.69831314716141e-07	1.20901025849226e-07	0.00222107338866098	0.717739494128841	0.14961899387622	419
cg14206898	-2.98505096142812e-07	9.80481930877538e-08	0.00233088196773769	0.719248906782069	-0.038336168344824	417
cg06942770	-4.79841248194318e-07	1.58998160808211e-07	0.00254529190498592	0.722262995798886	-0.173706846444853	418
cg06812612	2.37483180560751e-07	7.92163891738355e-08	0.0027184271945358	0.729913456878545	0.0410761742124071	419
cg26690834	1.55137836529929e-07	5.18847076855701e-08	0.00278932377481195	0.730744263474259	0.0296066001281351	417
cg17063269	-4.04725238874397e-07	1.3606107767737e-07	0.00293385174457288	0.731261569155532	0.110690924605368	419
cg14907788	-4.72272480081737e-07	1.60057527984953e-07	0.00317114139302696	0.738672587870715	-0.144046069725723	418
cg16162734	-3.35215023120841e-07	1.13776647387946e-07	0.00321647051287709	0.739602976204445	0.111299242078227	419
cg07351262	6.20147045863922e-07	2.10751828800444e-07	0.00325524945667997	0.74113068573365	0.0910338300373561	419
cg18495047	-1.00298253251123e-06	3.42286752696992e-07	0.00338699667840726	0.742346661143992	-0.0978140789871533	418
cg07938763	-3.29759772046813e-07	1.12851126007675e-07	0.0034770465455932	0.743930737242276	0.154810955610497	419
cg09585968	-8.37117480552314e-07	2.908647191424e-07	0.00400166676700117	0.747721629040862	0.155103998101816	419
cg13502540	-1.42833123510915e-06	4.96944757423258e-07	0.00405019822609925	0.747721629040862	-0.184708221039486	419
cg05384123	-8.04797777248288e-07	2.80886586882491e-07	0.00416738779413513	0.747721629040862	0.19677893943327	418
cg23530707	2.44354901684815e-07	8.59515906694125e-08	0.00446999959632275	0.747721629040862	0.115804202612965	416
cg08855953	-4.59117129337162e-07	1.61792952013561e-07	0.00454422715027844	0.747721629040862	-0.148194718601154	419
cg13048911	-3.16139248045749e-07	1.11883335038522e-07	0.00471899211698665	0.747721629040862	0.0800828852188061	419
cg04741211	-8.48169685060993e-07	3.03270763763813e-07	0.0051620945526934	0.747721629040862	-0.205556345307549	419
cg16966043	2.10512979066296e-07	7.55703786484741e-08	0.00534197460319607	0.748045219876942	0.0404006653849656	419
cg20009354	8.20223080033301e-07	2.95831352192176e-07	0.00556098104869633	0.751791874925199	0.273045339368638	419
cg10608004	3.20594186290946e-07	1.15742429126638e-07	0.00560746479687743	0.753043640698806	-0.051526357335199	418
cg20771178	1.62504697596507e-07	5.88288261367805e-08	0.00573902417136328	0.75370830449064	0.0216065459087497	418
cg26315261	-6.70849049714722e-07	2.42917817701031e-07	0.00575136752953695	0.75370830449064	-0.216871214821553	417
cg07810039	-1.01858974136486e-06	3.70196928122613e-07	0.00593264967676776	0.756582061080298	-0.215834176983012	418
cg06925664	-2.99488141750264e-07	1.09045983400597e-07	0.00602460880807426	0.756701337643485	0.086750844255862	419
cg16717113	-4.05108302081906e-07	1.48053799194926e-07	0.00621487770896856	0.756701337643485	0.0855410953038929	419
cg02324974	2.16224704346724e-07	7.93024781331643e-08	0.00639940621728717	0.756701337643485	0.0377165095735453	419
cg06087909	1.93536777809549e-07	7.09835298324677e-08	0.00640094506042691	0.756701337643485	0.0585327025185936	417
cg22333259	-1.75013679650544e-06	6.43722013014224e-07	0.00655237072934008	0.757694025767137	0.184241526302585	419
cg09142848	5.40217509994682e-07	1.99137407120748e-07	0.00667198350535986	0.757718313051874	0.0981049965517978	418
cg10418626	3.41826921951963e-07	1.2821235443275e-07	0.00767369279369587	0.759880933740479	0.147378961476999	407
cg00993400	2.42890613550427e-07	9.14294354931091e-08	0.00789351488397686	0.759880933740479	0.0664720401310956	419
cg26311262	-9.99622231805159e-07	3.77768623853946e-07	0.00814202130626099	0.76112302075202	0.161700094649337	419
cg13572771	3.13475392698912e-07	1.19255612671299e-07	0.00857369546922529	0.763574630845894	0.182940386314779	416
cg10932916	4.81397593142589e-07	1.83574511832082e-07	0.00873243422228106	0.764122000487589	0.145384864354328	419
cg02827729	2.89679245054995e-07	1.11030710049787e-07	0.00908069494914263	0.765233420872267	0.0736879433801418	418
cg00883166	-2.97132547211695e-07	1.13941805822253e-07	0.00911376143241365	0.765233420872267	0.111709960025893	417
cg09050860	-5.47580467700131e-07	2.11589114575376e-07	0.00965510888132866	0.771179961384534	-0.15590794348266	417
cg10205642	1.58148339350796e-07	6.17253993633877e-08	0.0104033137378102	0.775705954878585	0.040161273142969	414
