probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N
cg26565406	3.95635731117902e-08	8.48562913179e-09	3.12511486298212e-06	0.978325367651056	0.0398496798915418	393
cg09622432	1.80542632907604e-07	3.99674504495786e-08	6.2650386513186e-06	0.978325367651056	0.116020469390361	393
cg13885609	1.36757127152474e-07	3.03623874842491e-08	6.66352043570465e-06	0.978325367651056	0.217967290715941	392
cg16440331	8.02725944190915e-08	1.80949814391591e-08	9.15692967346407e-06	0.978325367651056	0.0951365627611065	391
cg07881065	1.01535928181778e-07	2.33451613369096e-08	1.36550956419526e-05	0.978325367651056	0.134637782617369	391
cg23039636	7.70004964955072e-08	1.77236101011586e-08	1.39583470885442e-05	0.978325367651056	0.0915715885253848	393
cg23241950	-7.10334921923764e-08	1.63730256841423e-08	1.43493555568775e-05	0.978325367651056	0.127312404956938	393
cg03565241	-1.84164230182207e-07	4.31401065611735e-08	1.9636932060626e-05	0.978325367651056	-0.186164262741666	393
cg05098381	1.07829445245336e-07	2.573303100016e-08	2.78570348442739e-05	0.978325367651056	-0.131805207216059	390
cg25513173	-2.27698012979061e-08	5.49043303171845e-09	3.36598849849079e-05	0.978325367651056	0.0153423718505537	393
cg08123106	-5.7425014083288e-08	1.59593867069983e-08	0.000320431127775214	0.999994514799094	0.176857521081018	391
cg05343106	9.36595908226953e-08	2.83892526408223e-08	0.000969879586344144	0.999994514799094	-0.208498584978382	393
cg17833419	-8.13092509412718e-08	2.53964809107763e-08	0.00136668914660723	0.999994514799094	0.211762324965092	392
cg19453726	-8.99711652347581e-08	2.82900205081289e-08	0.00147115243492392	0.999994514799094	-0.2783622263505	393
cg05417087	5.91552586505257e-08	1.87306915514676e-08	0.00158746938565157	0.999994514799094	0.0604590660694605	393
cg08570691	4.0827174945548e-08	1.2965912997108e-08	0.00163937676622665	0.999994514799094	0.0494279525836979	393
cg10924077	-4.61498254795334e-08	1.47460936385372e-08	0.00175026266467672	0.999994514799094	0.0680997505808532	393
cg00722631	4.62442401494822e-07	1.52859726859942e-07	0.00248408811663023	0.999994514799094	0.254971936028821	393
cg01071534	4.78271709904857e-08	1.61874427570533e-08	0.003130901795093	0.999994514799094	0.107745171891264	393
cg25996566	-3.01628887481467e-08	1.02906584252478e-08	0.003377703914761	0.999994514799094	0.0314032799989713	393
cg07664027	-4.5328782007186e-08	1.54954428956254e-08	0.00344126945391139	0.999994514799094	0.104472888015014	393
cg18828306	1.14854610084611e-06	3.96717937035057e-07	0.00379013408410796	0.999994514799094	0.706890732669116	393
cg03527274	6.81861601202372e-08	2.35727215409866e-08	0.00382082715568554	0.999994514799094	0.18257465498603	390
cg24375215	-8.33317046724355e-08	2.89583480780365e-08	0.00400661910857976	0.999994514799094	0.179808176304804	393
cg25406755	1.50143713088733e-07	5.21958810452908e-08	0.00402057000853538	0.999994514799094	0.139791486653024	393
cg08230472	3.32326257340586e-08	1.17726278903766e-08	0.00475955180849608	0.999994514799094	0.0446738812860919	393
cg13421038	4.94951226100655e-08	1.77193558263489e-08	0.00521765034813604	0.999994514799094	0.0644809289798167	393
cg02144954	8.64759172038353e-08	3.12456766001899e-08	0.00564685962516187	0.999994514799094	0.130450938753967	390
cg16818768	5.46696705837884e-08	1.97953868616363e-08	0.00574946089419956	0.999994514799094	-0.0469073538662736	386
cg00549566	-5.03194591371259e-08	1.82653274722293e-08	0.00587070460680537	0.999994514799094	0.058236878487965	393
cg22663995	-4.17720012837682e-08	1.52253167897658e-08	0.00607716983121527	0.999994514799094	0.0355711547842628	393
