probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N
cg05504279	-2.18007350133373e-07	3.85785884832905e-08	1.59523187670969e-08	0.0027225981962992	0.163036385463052	180
cg19581424	-1.55247230472711e-07	2.96250489355354e-08	1.60225263252388e-07	0.0136729029522742	0.072317294399785	182
cg08333778	1.15042288969717e-07	2.41096465525312e-08	1.82741869053993e-06	0.0975892152144446	0.05986194927344	182
cg17886164	-6.80566397073063e-08	1.44958385219722e-08	2.66725708395799e-06	0.0975892152144446	0.0362746920828786	182
cg25592907	6.6324087971836e-07	1.41696977390639e-07	2.8589864480329e-06	0.0975892152144446	-0.247000933285623	182
cg01082798	1.75826792003178e-07	3.87186442355444e-08	5.59508062276096e-06	0.1570324518728	0.0709845124876134	182
cg10804254	1.28189271500462e-07	2.85099293737832e-08	6.91452911486477e-06	0.1570324518728	0.121604661588053	180
cg15139163	1.68854569647153e-07	3.76656797788353e-08	7.3607092885282e-06	0.1570324518728	0.0983354594880215	182
cg09447895	-1.43401947243872e-07	3.23624463271143e-08	9.37440381870313e-06	0.169327706998477	0.114837494661832	179
cg23904955	3.40122306439746e-07	7.78459592015961e-08	1.24719087712047e-05	0.169327706998477	-0.142919139815941	182
cg14748795	2.25411513163068e-07	5.82656320690984e-08	0.0001094228468587	0.276363592338858	-0.0950625493377108	182
cg26238180	1.50643834327479e-07	4.10661522152303e-08	0.000244148400864477	0.365517997578431	0.120508711979256	182
cg19918022	1.16233440108544e-07	3.21102351503547e-08	0.00029480203750702	0.379688538881718	0.144664244463367	180
cg23323395	-9.51129225920865e-08	2.9442769875326e-08	0.00123602471102547	0.502572507729093	0.08050145757105	182
cg08763705	-4.03905623611088e-08	1.25604211103379e-08	0.00130126201356729	0.507049518533203	0.0233794028001124	181
cg23472215	-3.00823685314621e-08	9.53015621041306e-09	0.00159650159315052	0.545729772590646	0.0138124161027864	182
cg16376816	-8.50465596808221e-08	2.77207735968283e-08	0.00215516746392129	0.589812155089244	0.102831617215015	181
cg20251156	-1.07420530050762e-07	3.5213954337085e-08	0.00228452852070323	0.598195883756659	0.116704618203572	182
cg08836619	-1.02016455703889e-07	3.36794073077837e-08	0.00245327766476678	0.600224817515108	-0.0832240873563182	182
cg02593884	-1.21085427416883e-07	4.1910483814804e-08	0.00386291997993011	0.658471254095515	0.275772904313024	182
cg10994397	-7.48853324405137e-08	2.64243600037233e-08	0.00459764302268	0.684855995223458	0.122731424886139	182
cg00821760	1.13831813052892e-07	4.09922696867042e-08	0.00548784982979933	0.718972808119681	0.178957680328456	182
cg19235065	1.17520414914901e-07	4.24431571641365e-08	0.00562476974098498	0.722277412811686	0.171614610018882	179
cg04614997	3.23235754253309e-08	1.17421327980716e-08	0.00590905596298576	0.729010482477736	0.0174252860165261	182
cg25356639	-1.20894080877488e-07	4.41402078062058e-08	0.00616516381383089	0.729010482477736	0.101262015896371	182
cg19403178	-1.16614001844928e-07	4.27975772477419e-08	0.00643442578302773	0.731650505276675	0.119004753873726	181
cg13962170	-6.50889715958652e-08	2.39224551304917e-08	0.0065117927093051	0.731650505276675	0.124644397400217	180
cg03672203	1.43842339556126e-07	5.31156996508655e-08	0.00676707297966422	0.73640429142019	0.0731925871785323	177
cg09758869	-4.21205984476349e-08	1.55542826397214e-08	0.00676952537797738	0.73640429142019	0.0299406965427681	182
cg05002512	-2.64978250204064e-08	9.79325725721221e-09	0.00681562138530651	0.73640429142019	0.0165235882837309	182
cg11082630	-1.56648052770568e-07	5.80244027157515e-08	0.0069403562870897	0.73640429142019	0.192964324518696	182
cg25452067	-1.71838548190644e-07	6.46805850485288e-08	0.00789037026079874	0.747754381723849	0.119356126702965	182
cg22925171	-5.01831666614106e-08	1.89727667332766e-08	0.00816883893181318	0.754442359947681	0.0473122345421642	182
cg00356916	-6.02706596835518e-08	2.28561504904261e-08	0.00836537191487415	0.75862188633554	0.154541994543143	181
cg03671597	1.08766093221824e-07	4.16581552000814e-08	0.0090299124680623	0.77219356913253	0.0906368448370595	182
cg20004424	9.22266293610202e-08	3.58035781760806e-08	0.00999780035464789	0.780030591630037	-0.0751301321179655	182
cg08452658	-3.79575207602322e-08	1.50051636480598e-08	0.0114182678517861	0.789510130079018	0.0285275215335199	182
cg15155965	-7.50189977468922e-08	2.96718400101315e-08	0.0114619837852219	0.789757058783854	0.132888614256553	181
cg16273524	-2.39686227997762e-08	9.55954964936469e-09	0.0121658705310412	0.79914873480623	0.0196277327985845	182
cg06121323	-5.21595217357625e-08	2.08747137886005e-08	0.0124651899888196	0.801821617052396	0.0590658205220374	182
cg06835822	4.47399509094012e-08	1.79176168112575e-08	0.0125255625023433	0.802854965527903	0.0658550218449995	181
cg11931798	-5.77708601123169e-08	2.33876401046047e-08	0.0135058330287003	0.813931507359219	0.089717537487745	181
cg10646145	9.66564332417008e-08	3.99904410350241e-08	0.0156495146064389	0.82997186407734	-0.154652984333091	182
cg05014952	-5.99472109804595e-08	2.48324758120871e-08	0.0157756473110261	0.82997186407734	0.0557038876499604	182
cg12858902	3.88116348165667e-07	1.61384548933333e-07	0.0161761658857473	0.834159315348569	0.39882228800714	182
cg00227781	-3.09913362587952e-08	1.29341443802756e-08	0.0165711528429479	0.838843904108569	-0.0309861375887284	182
cg13132847	-3.61349362749778e-08	1.52285325150534e-08	0.0176517040410134	0.844317670815431	0.0248387731691337	182
cg17971929	-4.53053289030156e-08	1.91322556935901e-08	0.0178841634306285	0.844317670815431	0.0456928098871702	182
cg20068496	2.12855879592269e-07	9.02891404676874e-08	0.0183988773974978	0.846485284751469	-0.185714819504481	182
cg21789941	-1.28933164720044e-07	5.53234546817955e-08	0.0197779713406272	0.85340097838965	-0.169205050141291	182
cg06913517	-4.75602360608922e-08	2.05622279913863e-08	0.020723166655266	0.85928721678597	0.0402090553791362	182
cg14846368	9.02939534119183e-08	3.91442592833807e-08	0.0210717062829606	0.860354447621626	-0.0760132136333095	182
cg09152047	-2.63075011244143e-08	1.15413320194929e-08	0.0226423261904143	0.865924327788062	0.0263041903261566	182
cg18705240	-3.45495567849694e-08	1.51976629196237e-08	0.0230052956246916	0.866646888086238	0.0273209454503781	182
cg26116260	2.86072575672456e-08	1.27473713525376e-08	0.024821519968189	0.878778211285147	-0.0215501638784604	182
cg23046727	-8.13505869017683e-08	3.65081147996404e-08	0.0258613291968461	0.882323750702046	0.070019235298319	182
cg08832596	-1.66631948809475e-07	7.47959376266404e-08	0.0258924643797766	0.882323750702046	0.107686325999554	182
cg05446138	2.92928112966887e-07	1.31652353397112e-07	0.0260804087027499	0.883071224917418	0.239561835470735	182
cg08267183	7.4496104711596e-08	3.43986472490206e-08	0.0303364434799995	0.900025976993787	0.0776313663509447	178
cg22200895	7.46707409103078e-08	3.44842562315777e-08	0.0303603224241371	0.900025976993787	0.107898363606608	182
cg20115117	8.37609948630682e-08	3.87722579833872e-08	0.0307468871879558	0.900163089269493	0.0993576620553472	181
cg13544184	-5.82181910025287e-08	2.6971052480386e-08	0.030885597318966	0.900651145329562	0.074496286436383	182
cg14181713	6.17923753088896e-08	2.88762339773933e-08	0.0323625069926738	0.910171486813736	0.0587473167135126	182
cg07592809	-7.1067945024943e-08	3.32394190580087e-08	0.0325116963284093	0.910171486813736	0.110376226920973	182
cg03034689	5.41228264285928e-08	2.54352952718452e-08	0.0333484352033461	0.911904317472304	0.0443001191263015	182
cg01564068	-3.41588700431133e-08	1.61060509816803e-08	0.0339325886862964	0.913775802330692	0.0587151987296946	182
cg04990420	-9.44141416470113e-08	4.47197178186972e-08	0.0347515257885053	0.916004083092791	0.0960945264172613	182
cg02431704	-6.71127653349292e-08	3.19027008944489e-08	0.0354072142731955	0.919935839756044	0.0679425095290069	181
cg04713483	-4.8558103859798e-08	2.3111671673107e-08	0.0356391367957567	0.919969704539642	0.0608548059350323	182
cg19622675	2.84647341617109e-07	1.35897141345147e-07	0.0362084053354213	0.920447064390306	-0.272850244046866	182
cg04900565	-4.18697185392471e-08	2.00218269517009e-08	0.0365098080843922	0.922042831543548	0.0736261567725269	182
cg00865962	6.45247430402855e-08	3.09218226035754e-08	0.0369147470025599	0.923575612017876	0.106752543840033	180
cg21275932	-6.21877514209415e-08	2.98577445851269e-08	0.0372693323770356	0.923575612017876	0.151417907384923	182
cg13272546	7.67909225239119e-08	3.70142599825535e-08	0.038020768488457	0.926344408093282	0.0666496276001536	182
cg13867370	1.07538856058932e-07	5.21339971023239e-08	0.0391373831484082	0.927803048583031	-0.226589283759126	181
cg15768613	-1.04862329658564e-06	5.10434385154306e-07	0.0399394758727169	0.930073719016573	-0.687958596488587	182
cg01081189	7.81294142566527e-08	3.81352901717211e-08	0.0404872380730487	0.932248179454072	-0.0672950232714879	182
cg24296786	-3.16803921908526e-08	1.55327508546138e-08	0.0413915069861102	0.932937751447728	0.0412043357300311	182
cg19142054	-6.06304440935082e-08	2.98760545095476e-08	0.0424176364117407	0.932937751447728	0.126412295526796	182
cg00855923	1.04524940804025e-07	5.17042438731984e-08	0.0432184091817015	0.932937751447728	0.0849053926499289	182
