probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N
cg25388349	-2.39689462978601e-07	4.1982645816113e-08	1.13474432771227e-08	0.00547011446383994	0.131547464968944	313
cg20178757	-2.14294326216833e-07	4.00358844240023e-08	8.67202988662623e-08	0.0209020635552869	0.107049226803595	313
cg16911228	8.27944415038384e-08	1.68326428726676e-08	8.71282485743822e-07	0.10703910260543	0.0352266128389462	313
cg06521544	-1.16461790454856e-07	2.38216967401067e-08	1.01403206996312e-06	0.10703910260543	0.145207444754615	311
cg21446981	-2.91211481061268e-07	6.01027023563418e-08	1.26464404325749e-06	0.10703910260543	0.243498727786054	313
cg16434205	-1.24825232688428e-07	2.58783116788018e-08	1.41028061934004e-06	0.10703910260543	0.0574861514694865	311
cg13387374	-1.76740794037112e-07	3.67894113614733e-08	1.55432597854198e-06	0.10703910260543	0.0665040767193843	313
cg20810993	1.45702871943763e-07	3.06911145149898e-08	2.06052357052725e-06	0.124161226354707	0.108187146637418	313
cg07391023	-1.26036866332475e-07	2.68476800778152e-08	2.67238566002201e-06	0.141295417907601	0.130016070017234	313
cg21229044	-1.27933908529115e-07	2.74955191855902e-08	3.27298576077411e-06	0.141295417907601	0.0434581671243094	313
cg22333259	-6.08977219993013e-07	1.64688920986835e-07	0.000217525392967276	0.438895370404666	0.194134271246556	313
cg01797381	1.28945866715785e-07	3.56097207717872e-08	0.000293368796807267	0.465505916800047	0.134484495447834	313
cg13043509	-5.57813725470847e-08	1.55263299573343e-08	0.000327275206799302	0.465505916800047	0.031305336486024	311
cg25042112	3.16241365266835e-07	8.98184461926983e-08	0.000430092035593026	0.466916502962771	0.135720644528174	313
cg07297410	-1.12175097724581e-07	3.19009392655673e-08	0.000437511925471487	0.466916502962771	0.184317863554048	306
cg07182616	4.47433884487468e-07	1.27501264300893e-07	0.000449371332519708	0.466916502962771	-0.2070773466994	313
cg17833419	-1.49263108384909e-07	4.32506135053637e-08	0.000558262847416037	0.497271257764227	0.194693179816559	313
cg20432732	-4.99485045016554e-07	1.45885328725236e-07	0.000617476009319205	0.497271257764227	0.18631811444389	313
cg08836619	-1.24294515656179e-07	3.71366727774045e-08	0.000817065120480033	0.516889141245967	0.104234402792608	312
cg26607429	1.23382598914634e-07	3.78770856105107e-08	0.00112419249349599	0.550673512877545	0.100758537846713	313
cg01640506	-6.30112879220466e-08	1.96200488475965e-08	0.00132008815925006	0.568132562973633	0.0409025242149151	313
cg26286805	3.23145192367639e-08	1.00744424353757e-08	0.00133859635549467	0.568132562973633	0.0151349446007154	313
cg23053658	-5.75480280806445e-08	1.80177974510763e-08	0.00140338157912241	0.568412070914507	0.0631008917041895	311
