probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N
cg07406897	1.84449996767394e-07	4.71194858423265e-08	9.05856074428481e-05	0.56813763620756	0.0926806485994163	411
cg13874070	1.65543673691284e-07	4.54968378947021e-08	0.000274150400346808	0.783406668579197	0.0703121186614956	410
cg23110422	1.28203785538303e-07	3.54193769382689e-08	0.000295064925509405	0.791644441895458	0.165982217016992	412
cg03991848	8.03971523519089e-08	2.2894365040768e-08	0.00044532269973088	0.798842896631995	0.0577311555812543	411
cg14027297	4.50853725963146e-08	1.29266065776893e-08	0.000487018682972131	0.798842896631995	0.0653447236659449	414
cg26864297	-7.16712531213471e-08	2.06070888409349e-08	0.000505188386909513	0.806174135734942	0.141196753017923	414
cg11956953	1.9689194621731e-07	5.71251078707032e-08	0.00056752111951861	0.81656974385943	0.090841024937089	410
cg24689895	4.66916255250335e-07	1.36064189721484e-07	0.000600058175081163	0.81656974385943	0.182482909007948	414
cg03672203	1.13204575274811e-07	3.33316465845518e-08	0.000683011769006847	0.81656974385943	-0.0609708856744064	402
cg07190903	-7.15646296164965e-08	2.12922764132723e-08	0.000776438108508658	0.81656974385943	0.117529787586807	413
cg04154502	1.60584721456726e-07	4.91290962572124e-08	0.00108070424887154	0.844232324296743	-0.122981462377204	414
cg02401941	1.75163833787852e-07	5.38078738545521e-08	0.00113249948770487	0.844232324296743	0.105965563804185	414
cg15391271	-5.18154401466115e-08	1.59193789147282e-08	0.00113446004889714	0.844232324296743	0.0444811422477791	414
cg17735028	-3.21095719455508e-08	9.96786167799709e-09	0.00127606065575491	0.844232324296743	0.0308452626549584	412
cg10452974	-7.19278545044423e-08	2.2539525731699e-08	0.00141689258216317	0.844232324296743	0.108244786106555	414
cg00814898	1.03827479261549e-07	3.271942018585e-08	0.00150733470887589	0.844232324296743	-0.17096433363731	413
cg23574924	6.22717976369941e-08	1.97612613974313e-08	0.00162597987210769	0.844232324296743	0.0995769078276404	412
cg01372608	-5.88577585232713e-08	1.87721616807037e-08	0.00171634802601466	0.844232324296743	0.0633210877804413	414
cg11906038	-4.13733660451382e-08	1.3381101964588e-08	0.00198862968295916	0.860313599279954	0.0329138232509431	414
cg15325759	-1.60386724003644e-07	5.19499750877124e-08	0.00201963156363911	0.860313599279954	0.131359884970306	414
cg26078513	2.98195663860353e-07	9.76777243118103e-08	0.00226677489612398	0.874500130917354	0.149677374647596	414
cg16966043	4.67966997401e-08	1.54572703698543e-08	0.00246595547868814	0.876368561461177	0.0409076263766602	414
cg03559037	2.36761982750354e-07	7.83144277021491e-08	0.00250097833547968	0.876368561461177	-0.156734274636788	414
cg03597174	3.80502036176825e-07	1.27153914175955e-07	0.00276745816405797	0.877871388799751	-0.192778122298159	414
cg02657611	-6.32025842681328e-08	2.12829366828899e-08	0.00298152379375916	0.886950139111398	0.117184330605116	413
cg26811868	1.0216990740093e-07	3.48726249315102e-08	0.00339177387314042	0.89095368697477	0.127452121705998	414
cg04486568	-3.46519038219568e-08	1.18469384141919e-08	0.00344492761211408	0.89095368697477	0.0285885457233363	412
cg12231246	2.79395656471051e-07	9.6536684461821e-08	0.00380136185869544	0.895413210492886	-0.169746070701021	414
cg27241889	-3.01224776799203e-07	1.04313624654664e-07	0.00388089640247757	0.895413210492886	-0.242133012186254	414
cg10608004	6.20234524941712e-08	2.15987783769622e-08	0.00408375584548647	0.896192344847135	-0.0522752410765582	413
cg08570691	5.07864896660315e-08	1.79945404298277e-08	0.00476764349464945	0.909172515400575	0.0409704960038673	414
cg02942766	1.28870583260261e-07	4.59027189796668e-08	0.00499320710953462	0.909947500776052	0.0965535289366917	414
cg13904704	1.27612827965737e-07	4.56923526846772e-08	0.00522425876087671	0.910884449125322	0.0956795890850332	414
cg09735390	-6.51962450874739e-08	2.33779576150532e-08	0.00529051434677743	0.912764651918426	0.127165283674577	412
cg05504279	-1.09402864407987e-07	3.94789025297532e-08	0.00558547612225581	0.914430734250569	0.158589431818475	406
cg06958537	1.27134644535228e-07	4.66068900855869e-08	0.00637567187105676	0.927142350395994	0.090425031236715	414
