probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N
cg15062725	1.8503016744201e-06	3.65822331406578e-07	4.23844519799564e-07	0.193753518625133	0.118519201821919	376
cg07727721	-3.36142798766581e-07	6.85598640176797e-08	9.44275638559812e-07	0.193753518625133	0.0376929592280982	376
cg07938763	-4.61290868329783e-07	9.648365884335e-08	1.74402920776202e-06	0.193753518625133	0.144086226765266	376
cg12190125	-5.9986977818873e-07	1.28518977783388e-07	3.04800776958609e-06	0.193753518625133	-0.117798388315432	376
cg12498094	4.53870025186148e-07	9.73308695648032e-08	3.11381011868759e-06	0.193753518625133	0.165134816933039	372
cg09189258	4.61651484441697e-07	9.94664412385966e-08	3.46259568991486e-06	0.193753518625133	-0.051203234946512	370
cg05667256	-4.98303871283556e-07	1.07673532553962e-07	3.69366957687154e-06	0.193753518625133	0.0530449367699276	376
cg11401796	8.51969965567155e-06	1.84330810383478e-06	3.80128008571816e-06	0.193753518625133	0.836952703821659	376
cg13375758	2.72164874017101e-07	5.89389200515888e-08	3.87933473158348e-06	0.193753518625133	0.0453118011042897	376
cg23110422	7.32076464954678e-07	1.58782772852582e-07	4.01598319069786e-06	0.193753518625133	0.159446697242985	374
cg15382669	3.61862526784401e-07	9.42045391954135e-08	0.00012241285666042	0.509777087087183	0.0616111743309922	375
cg13708301	-3.89284842535393e-07	1.09369697047817e-07	0.00037177624218371	0.58171187096705	0.0667410079232653	376
cg00855923	-7.18212185450511e-07	2.15001370577234e-07	0.000836275307779746	0.62134583631364	0.0862988622697242	376
cg19453726	-6.31593698932271e-07	1.91791449682274e-07	0.00099079529992971	0.628938345389376	-0.250785877624031	376
cg08230472	2.51903695770573e-07	7.70750999224218e-08	0.0010819984796651	0.634499878490433	0.0420275872083622	376
cg07627726	-3.52479393115135e-07	1.10381281114339e-07	0.00140661818064962	0.636674490525041	0.0953263339434828	375
cg06605739	-4.22584092846215e-07	1.32371340854161e-07	0.00141089058313983	0.636674490525041	-0.129744568998217	373
cg21648376	-1.43257255033806e-06	4.51836606969743e-07	0.00152148331537718	0.646617109058384	0.246185101830725	376
cg22562363	-5.63839788962495e-07	1.78668684650493e-07	0.00160067311861443	0.646617109058384	0.217654738601432	376
cg25132078	1.80891958585985e-07	5.75688695093085e-08	0.00167692836519827	0.653386512950429	0.0262173178893791	376
cg26393294	3.1711529296932e-07	1.00969946785557e-07	0.00168550390184353	0.653386512950429	0.0657648453527511	373
cg01037496	-4.3262583831829e-07	1.37980470909595e-07	0.00171611999671917	0.653386512950429	0.0644418139173603	376
cg02152128	3.75219133980139e-07	1.21213627019174e-07	0.00196468520127275	0.667149653498145	0.108173916294648	376
cg13337731	1.29130587451896e-06	4.21328883590174e-07	0.00217786025641562	0.673394092607801	0.148211120669096	376
cg06960717	-7.97753773215603e-07	2.61371980801325e-07	0.00227187440426978	0.674344970999754	0.141902612055306	343
cg10452974	-3.94961830245911e-07	1.30069840159585e-07	0.00239313053019682	0.682537304984258	0.092907452049351	376
cg09271353	-3.84551371081832e-07	1.2778003052453e-07	0.00261695814666586	0.688484937711595	0.109777418447784	376
cg04994953	4.11651648958896e-07	1.37440658059917e-07	0.00274334369912276	0.693181185885378	0.0701465146109446	376
cg01308252	1.9594270458846e-07	6.54518861793267e-08	0.00275625179795278	0.693181185885378	0.0462862960130713	376
cg21949305	-2.35107985695948e-07	7.85703170312236e-08	0.00276860635266186	0.693181185885378	0.0820507716959046	376
cg05340882	3.3380231334465e-07	1.11911930832218e-07	0.00285696240569106	0.693181185885378	0.0632432308856378	375
cg10832589	-5.92222541265212e-07	1.99266740469732e-07	0.00295858034475493	0.693181185885378	0.162578055748269	376
cg15884992	3.68187764512859e-07	1.25203694879586e-07	0.0032746089184438	0.705968882865881	0.170370002523324	374
cg15892280	6.76483383496611e-07	2.30363159047939e-07	0.00331836780773638	0.707765897015589	0.152412836992081	376
cg19599827	2.62997371404219e-07	8.96969662312707e-08	0.00336715828333305	0.709143499088293	0.0600379153141054	375
cg04154502	7.38351166153527e-07	2.51984048201732e-07	0.00338797952595166	0.709954146234232	-0.114996950050322	376
cg10683055	3.83829832595322e-07	1.31326227493435e-07	0.00346988047060923	0.710135424650127	0.0908765870305755	375
cg16694365	-6.53899020678272e-07	2.25993145082407e-07	0.00381039488359085	0.716636277524336	0.12520845576024	376
cg07911682	1.92196324996371e-07	6.65022530248985e-08	0.00385153129885825	0.716636277524336	0.05265543266609	374
cg06799979	-2.43632506416538e-07	8.52097540255208e-08	0.00424698703120685	0.729603926483261	0.0665508731603088	375
cg00079551	-8.43666469886233e-07	2.95280166869656e-07	0.0042743303030566	0.731510573614677	0.178365975791769	376
cg06276978	-1.22425368282114e-06	4.28855178966235e-07	0.00430772449007276	0.731510573614677	0.197643645779477	376
cg13387374	-4.13974298493943e-07	1.46441081964172e-07	0.0047000998925966	0.740382382986787	0.0566330411786289	376
cg22870661	-2.89466944416336e-07	1.02411357028563e-07	0.00470579595625857	0.740382382986787	0.135692136985759	375
cg16519477	-2.81487201981856e-07	1.00381780205468e-07	0.00504468827718833	0.744521299314522	0.0728687963624894	376
cg13569486	1.2596580707096e-06	4.52865740258202e-07	0.00541039084892807	0.752787952794332	-0.178425207692164	376
cg12657014	-4.08837990334343e-07	1.48740473514265e-07	0.00598381939456729	0.760457638015317	0.0827708585996203	376
cg18639524	4.52986693401071e-07	1.64924874774534e-07	0.00602120373538506	0.761413468170448	0.106387669541983	376
cg03939105	9.17647877000892e-07	3.35601139233614e-07	0.00625053190242397	0.766938938508088	0.118591505546266	376
cg18835048	-2.90933458764748e-07	1.06551420804946e-07	0.00632476890626762	0.767653868343812	0.0751972070306134	376
cg11906038	-1.71376210927823e-07	6.30812463846983e-08	0.00659256431344662	0.767653868343812	0.0306453689345146	376
cg27428129	-2.904582359565e-07	1.06932261497141e-07	0.00660195479832691	0.767653868343812	0.119424502521752	376
cg06257983	-3.66455821147641e-07	1.34995451404711e-07	0.0066360065330192	0.767653868343812	0.110097228898979	376
cg13992444	3.29318501352029e-06	1.21389467201101e-06	0.00666955464303419	0.767653868343812	0.330274372836378	376
cg04344018	-9.02851065077491e-07	3.33010971537563e-07	0.00670452039352895	0.767653868343812	0.135237540800153	371
cg16087328	-3.99830778999479e-07	1.48646418477964e-07	0.00714924857346152	0.768164177332583	-0.186153050047194	376
cg01858712	4.09920833536687e-07	1.52732119790675e-07	0.00727644547914065	0.768344228514835	0.335973854491952	376
